"Name","TotalDisputes","TotalDisputesAmongBig25","Tana Kama","Stam","Shimon ben Azai","Rabbi Yosi Haglili","Rabbi Yosi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda Hanasi","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Dosa ben Harkinas","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel"
"Beit Hillel",240,234,2,0,0,0,2,1,0,0,1,0,2,1,0,1,3,0,2,0,0,0,0,11,1,207,0
"Beit Shamai",224,222,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,207
"Chachamim",511,472,15,1,0,1,9,2,10,13,66,15,7,1,26,130,16,5,84,2,7,1,12,46,0,2,1
"Rabbi Akiva",285,262,53,3,6,10,7,11,22,0,6,9,24,0,9,3,6,1,25,0,5,2,0,0,46,3,11
"Rabbi Dosa ben Harkinas",21,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0
"Rabbi Elazar",67,67,50,1,0,1,1,1,0,0,6,0,0,1,1,1,0,0,0,0,1,0,0,2,1,0,0
"Rabbi Elazar ben Azarya",31,31,10,0,0,0,0,0,3,0,1,2,1,0,1,0,0,0,0,0,0,1,0,5,7,0,0
"Rabbi Elazar ben Tzadok",17,16,10,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
"Rabbi Eliezer",292,277,73,1,1,0,4,0,1,0,4,67,2,1,1,3,8,0,0,0,0,0,0,25,84,0,2
"Rabbi Eliezer ben Yakov",26,26,17,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0
"Rabbi Gamliel",73,72,14,4,0,0,0,1,0,0,1,12,0,0,4,0,0,0,8,1,0,0,1,6,16,1,3
"Rabbi Meir",346,343,51,3,0,0,55,1,0,0,65,2,0,2,25,0,0,0,3,1,0,1,0,3,130,0,1
"Rabbi Shimon",341,338,209,0,0,0,18,0,0,2,40,0,1,0,0,25,4,1,1,0,1,1,0,9,26,0,0
"Rabbi Shimon ben Gamliel",80,78,68,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1
"Rabbi Tarfon",53,52,9,2,0,1,0,0,3,0,0,0,0,0,1,0,0,0,2,0,1,0,0,24,7,0,2
"Rabbi Yehoshua",130,124,12,1,1,0,1,1,0,0,0,0,0,1,0,2,12,0,67,0,2,0,0,9,15,0,0
"Rabbi Yehuda",626,617,367,8,1,0,46,1,1,0,0,0,0,1,40,65,1,1,4,1,1,6,0,6,66,0,1
"Rabbi Yehuda Hanasi",28,28,11,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,13,0,0
"Rabbi Yishmael",57,56,14,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,1,0,3,0,0,22,10,0,0
"Rabbi Yochanan ben Nuri",41,41,21,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,11,2,0,1
"Rabbi Yosi",350,342,190,2,2,0,0,1,0,1,46,1,0,1,18,55,0,0,4,1,0,1,0,7,9,1,2
"Rabbi Yosi Haglili",25,24,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,1,0,0
"Shimon ben Azai",18,17,6,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0
"Stam",36,33,4,0,0,0,2,0,0,0,8,1,2,0,0,3,4,0,1,0,0,1,0,3,1,3,0
"Tana Kama",1308,1223,0,4,6,10,190,21,14,11,367,12,9,68,209,51,14,17,73,10,10,50,3,53,15,4,2
