"Name","TotalDisputes","Tana Kama","Stam","Shimon ben Azai","Rabbi Yosi Haglili","Rabbi Yosi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda Hanasi","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Dosa ben Harkinas","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel"
"Beit Hillel",37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"Beit Shamai",172,4,3,0,0,3,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,7,1,0,146
"Chachamim",177,4,0,0,1,4,1,3,6,28,3,2,0,13,35,6,1,35,1,4,1,10,7,0,0,0
"Rabbi Akiva",129,19,1,1,3,4,7,8,1,3,7,7,0,4,1,2,0,13,0,4,0,0,0,33,0,0
"Rabbi Dosa ben Harkinas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rabbi Elazar",30,16,0,0,0,0,1,0,0,5,0,0,1,3,1,0,0,0,0,1,0,0,0,2,0,0
"Rabbi Elazar ben Azarya",8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"Rabbi Elazar ben Tzadok",8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"Rabbi Eliezer",143,31,0,0,0,3,0,0,0,2,40,1,0,2,3,7,0,0,0,0,1,0,8,38,1,1
"Rabbi Eliezer ben Yakov",10,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0
"Rabbi Gamliel",23,1,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,0,3,7,0,0
"Rabbi Meir",213,23,3,0,0,32,0,0,0,43,0,0,2,23,0,0,0,2,2,0,0,0,1,74,0,1
"Rabbi Shimon",91,48,1,0,0,7,0,0,2,16,1,0,0,0,6,1,0,0,0,0,1,0,2,5,0,0
"Rabbi Shimon ben Gamliel",15,10,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Rabbi Tarfon",21,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,4,0,0
"Rabbi Yehoshua",61,6,1,0,0,0,1,0,0,1,0,1,0,1,0,8,0,22,0,2,0,0,2,13,0,0
"Rabbi Yehuda",245,143,2,0,0,22,0,0,0,0,0,0,1,18,20,1,2,0,0,0,3,0,1,28,1,1
"Rabbi Yehuda Hanasi",13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Rabbi Yishmael",34,5,0,0,0,1,1,0,0,3,0,1,0,0,0,0,1,1,0,2,0,0,13,5,0,0
"Rabbi Yochanan ben Nuri",14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Rabbi Yosi",128,81,1,0,1,0,1,0,0,12,1,0,1,8,11,0,0,0,1,0,1,0,3,4,0,0
"Rabbi Yosi Haglili",13,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Shimon ben Azai",15,3,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,4,0,0,0
"Stam",17,4,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0
"Tana Kama",592,0,0,0,4,91,7,6,2,148,3,2,28,133,18,7,12,34,5,6,30,1,12,7,2,1
