"Name","TotalDisputes","TotalDisputesAmongBig25","Tana Kama","Stam","Shimon ben Azai","Rabbi Yosi Haglili","Rabbi Yosi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda Hanasi","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Dosa ben Harkinas","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel"
"Beit Hillel",222,217,2,0,0,0,2,1,0,0,1,0,2,1,0,0,2,0,2,0,0,0,0,9,0,195,0
"Beit Shamai",12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Chachamim",473,438,12,1,0,1,8,1,9,13,62,14,7,1,24,125,14,3,80,2,5,1,12,40,0,2,1
"Rabbi Akiva",150,134,5,1,3,10,5,9,19,0,6,8,19,0,6,2,3,1,21,0,3,2,0,0,6,3,2
"Rabbi Dosa ben Harkinas",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rabbi Elazar",13,13,7,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Rabbi Elazar ben Azarya",10,10,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"Rabbi Elazar ben Tzadok",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Eliezer",43,38,9,0,1,0,0,0,0,0,0,16,0,1,0,2,1,0,0,0,0,0,0,4,4,0,0
"Rabbi Eliezer ben Yakov",12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Rabbi Gamliel",34,33,4,0,0,0,0,1,0,0,0,10,0,0,2,0,0,0,7,1,0,0,1,3,2,1,1
"Rabbi Meir",49,48,5,0,0,0,7,1,0,0,14,1,0,0,11,0,0,0,1,1,0,0,0,1,5,0,1
"Rabbi Shimon",65,65,21,0,0,0,2,0,0,0,18,0,0,0,0,14,2,1,1,0,1,0,0,3,2,0,0
"Rabbi Shimon ben Gamliel",30,28,22,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"Rabbi Tarfon",16,15,2,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,5,0,0,0
"Rabbi Yehoshua",62,60,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,51,0,1,0,0,1,1,0,0
"Rabbi Yehuda",154,150,52,3,0,0,7,0,0,0,0,0,0,0,22,51,1,1,4,1,0,4,0,0,4,0,0
"Rabbi Yehuda Hanasi",5,5,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Yishmael",14,13,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,3,1,0,0
"Rabbi Yochanan ben Nuri",9,9,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
"Rabbi Yosi",152,147,31,1,0,0,0,0,0,0,39,1,0,1,16,48,0,0,4,1,0,1,0,2,1,1,0
"Rabbi Yosi Haglili",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shimon ben Azai",7,7,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Stam",23,21,0,0,0,0,1,0,0,0,5,0,1,0,0,3,4,0,1,0,0,1,0,2,0,3,0
"Tana Kama",1100,1030,0,4,5,10,160,19,11,9,315,11,7,46,188,46,10,7,64,8,8,43,3,48,3,5,0
