"Name","TotalDisputes","TotalDisputesAmongBig25","Tana Kama","Stam","Shimon ben Azai","Shamai","Rabbi Yosi Haglili","Rabbi Yosi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda Hanasi","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel"
"Beit Hillel",255,254,2,0,0,5,0,2,1,0,0,1,0,2,1,1,1,3,0,3,0,0,0,11,1,220,0
"Beit Shamai",269,266,7,3,0,5,0,3,1,0,0,2,0,2,0,2,0,3,0,3,0,0,0,12,3,0,220
"Chachamim",554,503,18,1,0,3,2,10,2,11,13,73,17,8,1,27,138,17,5,91,4,7,4,47,0,3,1
"Rabbi Akiva",373,340,60,5,9,2,12,16,14,29,2,10,14,29,0,12,3,8,1,34,0,7,3,0,47,12,11
"Rabbi Elazar",98,97,52,1,2,0,1,3,1,1,0,10,2,0,1,9,3,0,0,3,0,1,0,3,4,0,0
"Rabbi Elazar ben Azarya",43,41,10,0,0,0,0,1,0,3,0,2,3,2,0,2,0,0,0,3,0,0,1,7,7,0,0
"Rabbi Elazar ben Tzadok",29,27,10,0,0,0,0,1,0,0,0,3,0,0,0,2,5,1,0,1,0,0,0,0,4,0,0
"Rabbi Eliezer",366,348,80,1,2,1,0,8,0,2,0,6,77,3,1,10,7,11,1,0,1,3,3,34,91,3,3
"Rabbi Eliezer ben Yakov",31,31,17,0,0,0,0,1,0,1,0,2,0,0,0,2,1,0,0,1,0,0,0,1,5,0,0
"Rabbi Gamliel",90,88,17,4,0,0,0,0,1,0,0,2,14,0,0,6,1,0,0,11,1,0,0,8,17,3,3
"Rabbi Meir",431,415,54,5,1,0,0,61,1,0,0,89,2,0,3,40,0,1,1,7,5,0,3,3,138,0,1
"Rabbi Shimon",431,425,217,1,2,0,0,26,1,0,2,56,5,1,1,0,40,6,2,10,2,2,9,12,27,2,1
"Rabbi Shimon ben Gamliel",88,85,71,0,0,0,0,2,0,0,1,2,1,0,0,1,3,0,0,1,0,0,1,0,1,0,1
"Rabbi Tarfon",68,65,9,2,0,1,1,0,0,3,0,0,2,0,0,1,0,0,0,3,0,2,0,29,8,2,2
"Rabbi Yehoshua",168,159,12,1,1,1,0,3,1,1,1,1,0,2,1,5,2,14,0,77,0,3,2,14,17,0,0
"Rabbi Yehuda",746,727,391,9,1,0,0,60,3,4,0,0,1,0,2,56,89,2,2,6,3,2,10,10,73,2,1
"Rabbi Yehuda Hanasi",34,33,13,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,13,0,0
"Rabbi Yishmael",84,77,19,0,0,0,1,1,1,0,0,4,1,3,0,0,0,0,1,2,0,3,1,29,11,0,0
"Rabbi Yochanan ben Nuri",53,53,23,0,0,0,0,3,0,1,0,3,1,0,0,1,1,1,0,0,0,0,1,14,2,1,1
"Rabbi Yosi",429,414,204,2,3,0,3,0,3,1,1,60,3,0,2,26,61,0,1,8,1,1,3,16,10,3,2
"Rabbi Yosi Haglili",32,31,10,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,12,2,0,0
"Shamai",28,19,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,3,5,5
"Shimon ben Azai",30,29,6,1,0,0,1,3,0,0,0,1,1,0,0,2,1,0,0,2,0,0,2,9,0,0,0
"Stam",44,41,5,0,1,0,0,2,0,0,0,9,1,2,0,1,5,4,0,1,0,0,1,5,1,3,0
"Tana Kama",1418,1308,0,5,6,1,10,204,23,19,13,391,12,9,71,217,54,17,17,80,10,10,52,60,18,7,2
