"Name","TotalDisputes","Tana Kama","Stam","Shimon ben Azai","Shamai","Rabbi Yosi Haglili","Rabbi Yosi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda Hanasi","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel"
"Beit Hillel",37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"Beit Shamai",174,5,3,0,0,0,3,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,7,2,0,146
"Chachamim",178,4,0,0,1,1,4,1,3,6,29,3,2,0,13,35,6,1,35,1,4,1,7,0,0,0
"Rabbi Akiva",132,19,1,1,0,3,5,7,8,1,3,8,7,0,4,1,2,0,14,0,4,0,0,33,0,0
"Rabbi Elazar",30,16,0,0,0,0,0,1,0,0,5,0,0,1,3,1,0,0,0,0,1,0,0,2,0,0
"Rabbi Elazar ben Azarya",8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"Rabbi Elazar ben Tzadok",8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"Rabbi Eliezer",147,32,0,0,0,0,3,0,0,0,2,40,1,0,2,3,7,0,0,0,1,1,8,40,1,1
"Rabbi Eliezer ben Yakov",10,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0
"Rabbi Gamliel",23,1,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,3,7,0,0
"Rabbi Meir",215,23,3,0,0,0,32,0,0,0,43,0,0,2,24,0,0,0,2,2,0,0,1,74,0,1
"Rabbi Shimon",91,48,1,0,0,0,8,0,0,2,16,1,0,0,0,6,1,0,0,0,0,1,2,5,0,0
"Rabbi Shimon ben Gamliel",15,10,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Rabbi Tarfon",21,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,10,4,0,0
"Rabbi Yehoshua",61,6,1,0,1,0,0,1,0,0,1,0,1,0,1,0,8,0,22,0,2,0,2,13,0,0
"Rabbi Yehuda",248,144,3,0,0,0,22,0,0,0,0,0,0,1,18,20,1,2,0,0,0,3,1,28,1,1
"Rabbi Yehuda Hanasi",13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Rabbi Yishmael",34,5,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,1,1,0,2,0,13,5,0,0
"Rabbi Yochanan ben Nuri",14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Rabbi Yosi",129,81,1,0,0,1,0,1,0,0,12,1,0,1,8,11,0,0,0,1,0,1,4,4,0,0
"Rabbi Yosi Haglili",15,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0
"Shamai",16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,5
"Shimon ben Azai",16,3,1,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,4,0,0,0
"Stam",17,4,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0
"Tana Kama",596,0,0,0,0,4,92,7,6,2,149,3,2,28,133,18,7,12,34,5,6,30,14,7,2,1
