"Name","TotalDisputes","TotalDisputesAmongBig30","Tanna Kama","Stam","Shimon ben Azai","Shamai","Rebbe","Rabbi Chananiah ben Antignos","Rabbi Yossi Haglili","Rabbi Yossi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda ben Bathyra","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Nechemia","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Dosa ben Harkinas","Rabbi Chanina Sgan Hacohanim","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel","Aba Shaul"
"Aba Shaul",13,13,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Beit Hillel",260,259,2,0,0,5,0,0,0,2,1,0,0,1,0,2,1,1,0,1,3,0,3,0,0,0,0,0,11,1,225,0,0
"Beit Shamai",274,272,7,3,0,5,0,0,0,3,1,0,0,2,0,2,0,2,0,0,3,0,3,0,0,0,1,0,12,3,0,225,0
"Chachamim",556,524,18,1,0,3,13,2,2,10,2,11,3,72,17,8,1,27,2,138,18,5,91,4,8,4,12,1,46,0,3,1,1
"Rabbi Akiva",370,346,60,5,9,2,2,1,12,16,14,29,1,9,14,29,0,12,2,3,8,1,34,0,7,3,0,3,0,46,12,11,1
"Rabbi Chanina Sgan Hacohanim",13,12,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0
"Rabbi Dosa ben Harkinas",24,19,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,1,0,0
"Rabbi Elazar",98,97,52,1,2,0,0,0,1,3,1,1,0,10,2,0,1,9,0,3,0,0,3,0,1,0,0,0,3,4,0,0,0
"Rabbi Elazar ben Azarya",44,42,10,0,0,0,0,0,0,1,0,3,0,2,3,2,0,2,0,0,0,0,3,0,0,1,0,0,7,8,0,0,0
"Rabbi Elazar ben Tzadok",29,27,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,5,1,0,1,0,0,0,0,0,0,4,0,0,0
"Rabbi Eliezer",367,348,79,1,2,1,0,0,0,8,0,2,1,6,77,3,1,10,0,7,11,1,0,1,3,3,0,0,34,91,3,3,0
"Rabbi Eliezer ben Yakov",31,31,17,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0
"Rabbi Gamliel",91,90,17,4,0,0,0,0,0,0,1,0,0,2,14,0,0,6,0,1,0,0,11,1,0,0,1,0,8,18,3,3,0
"Rabbi Meir",434,421,55,5,1,0,0,1,0,62,1,0,1,90,2,0,3,40,1,0,1,1,7,5,0,3,0,0,3,138,0,1,0
"Rabbi Nechemia",21,21,11,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0
"Rabbi Shimon",431,426,217,1,2,0,2,0,0,26,1,0,1,56,5,1,1,0,0,40,6,2,10,2,2,9,0,0,12,27,2,1,0
"Rabbi Shimon ben Gamliel",88,85,71,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1,0,3,0,0,1,0,0,1,0,0,0,1,0,1,0
"Rabbi Tarfon",68,66,9,2,0,1,0,0,1,0,0,3,0,0,2,0,0,1,0,0,0,0,3,0,2,0,0,0,29,8,2,2,1
"Rabbi Yehoshua",169,160,13,1,1,1,1,0,0,3,1,1,0,1,0,2,1,5,0,2,14,0,77,0,3,2,0,0,14,17,0,0,0
"Rabbi Yehuda",746,731,391,9,1,0,0,0,0,61,3,4,0,0,1,0,2,56,3,90,2,2,6,3,2,10,0,0,9,72,2,1,1
"Rabbi Yehuda ben Bathyra",14,14,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0
"Rabbi Yishmael",84,80,19,0,0,0,0,1,1,1,1,0,0,4,1,3,0,0,1,0,0,1,2,0,3,1,0,1,29,11,0,0,0
"Rabbi Yochanan ben Nuri",53,53,23,0,0,0,0,0,0,3,0,1,0,3,1,0,0,1,0,1,1,0,0,0,0,1,0,0,14,2,1,1,0
"Rabbi Yossi",432,422,205,2,3,0,1,2,3,0,3,1,1,61,3,0,2,26,1,62,0,1,8,1,1,3,0,1,16,10,3,2,0
"Rabbi Yossi Haglili",32,31,10,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,0
"Rabbi Chananiah ben Antignos",15,15,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0
"Rebbe",34,33,13,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0
"Shamai",28,19,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,5,5,0
"Shimon ben Azai",32,29,6,1,0,0,0,0,1,3,0,0,0,1,1,0,0,2,0,1,0,0,2,0,0,2,0,0,9,0,0,0,0
"Stam",44,42,5,0,1,0,0,0,0,2,0,0,0,9,1,2,0,1,0,5,4,0,1,0,0,1,0,0,5,1,3,0,1
"Tanna Kama",1419,1350,0,5,6,1,13,7,10,205,23,19,6,391,13,9,71,217,11,55,17,17,79,10,10,52,3,5,60,18,7,2,8
