"Tanna","All Arguments (Unique Count)","Chumra Arguments (Unique Count)","BHB Arguments (Unique Count)","Chayav Arguments (Unique Count)","All Arguments (Win Rate)","Chumra Arguments (Win Rate)","BHB Arguments (Win Rate)","Chayav Arguments (Win Rate)","Chumra ex BHB Arguments (Win Rate)","All Arguments (Win Rate, No Ties)","Chumra Arguments (Win Rate, No Ties)","BHB Arguments (Win Rate, No Ties)","Chayav Arguments (Win Rate, No Ties)","Chumra ex BHB Arguments (Win Rate, No Ties)"
"Aba Shaul",11,6,1,2,0.46,0.71,1,0.33,0.83,0.44,0.71,1,0.33,0.83
"Beit Hillel",226,193,15,3,0.9,0.27,0.31,0.12,0.23,0.93,0.27,0.31,0.2,0.23
"Beit Shamai",235,201,16,3,0.12,0.74,0.7,1,0.78,0.05,0.74,0.7,1,0.78
"Chachamim",484,418,33,15,0.9,0.44,0.38,0.44,0.43,0.93,0.44,0.38,0.44,0.43
"Rabbi Akiva",257,193,30,9,0.52,0.59,0.42,0.67,0.59,0.53,0.58,0.42,0.67,0.59
"Rabbi Chanina Sgan Hacohanim",7,3,0,0,0.42,0.43,0.5,0.5,0.43,0.33,0.43,NA,NA,0.43
"Rabbi Dosa ben Harkinas",19,14,1,1,0.1,0.25,0,1,0.2,0.05,0.25,0,1,0.2
"Rabbi Elazar",71,60,2,2,0.29,0.49,0,1,0.47,0.19,0.49,0,1,0.47
"Rabbi Elazar ben Azarya",28,25,2,2,0.34,0.38,0.2,0.62,0.32,0.29,0.39,0.2,0.67,0.33
"Rabbi Elazar ben Tzadok",17,16,2,0,0.28,0.41,0.5,0.5,0.39,0.12,0.41,0.5,NA,0.4
"Rabbi Eliezer",272,229,27,7,0.22,0.5,0.65,0.55,0.52,0.15,0.5,0.66,0.56,0.52
"Rabbi Eliezer ben Yakov",27,24,0,0,0.47,0.41,0.5,0.5,0.41,0.46,0.41,NA,NA,0.41
"Rabbi Gamliel",64,49,5,4,0.47,0.41,0.5,1,0.4,0.46,0.41,0.5,1,0.4
"Rabbi Meir",338,280,24,19,0.21,0.63,0.57,0.45,0.65,0.14,0.63,0.57,0.45,0.64
"Rabbi Nechemia",15,14,1,0,0.21,0.4,0.88,0.5,0.47,0,0.39,0.8,NA,0.46
"Rabbi Shimon",325,280,19,9,0.26,0.32,0.41,0.65,0.31,0.19,0.33,0.42,0.7,0.31
"Rabbi Shimon ben Gamliel",77,44,3,6,0.39,0.4,0,0.67,0.34,0.38,0.4,0,0.67,0.34
"Rabbi Tarfon",51,36,12,8,0.35,0.42,0.69,0.56,0.47,0.3,0.41,0.71,0.56,0.47
"Rabbi Yehoshua",125,109,12,2,0.48,0.52,0.41,0,0.51,0.48,0.52,0.38,0,0.51
"Rabbi Yehuda",603,475,43,32,0.28,0.47,0.6,0.34,0.48,0.25,0.47,0.6,0.34,0.48
"Rabbi Yehuda ben Bathyra",11,10,0,0,0.18,0.92,0.5,0.5,0.92,0.09,0.92,NA,NA,0.92
"Rabbi Yishmael",56,41,4,1,0.33,0.58,0.72,1,0.63,0.25,0.58,0.7,1,0.64
"Rabbi Yochanan ben Nuri",40,33,2,1,0.28,0.42,0.5,0,0.41,0.22,0.43,0.5,0,0.41
"Rabbi Yossi",335,285,25,11,0.44,0.47,0.26,0.58,0.44,0.43,0.47,0.3,0.58,0.44
"Rabbi Yossi Haglili",24,20,4,1,0.08,0.52,0.71,0,0.61,0,0.52,0.71,0,0.61
"Rabbi Chananiah ben Antignos",10,6,0,0,0.33,0.43,0.5,0.5,0.43,0.22,0.43,NA,NA,0.43
"Rebbe",31,24,1,3,0.24,0.54,0.5,0,0.54,0.18,0.54,0.5,0,0.54
"Shamai",11,11,0,0,0.29,0.57,0.5,0.5,0.57,0.12,0.57,NA,NA,0.57
"Shimon ben Azai",17,10,0,0,0.42,0.83,0.5,0.5,0.83,0.37,0.79,NA,NA,0.79
"Stam",34,30,1,0,0.61,0.5,0,0.5,0.49,0.63,0.5,0,NA,0.49
"Tanna Kama",1255,998,90,57,0.82,0.55,0.53,0.51,0.55,0.84,0.54,0.53,0.51,0.55
