"Name","TotalDisputes","Tanna Kama","Stam","Shimon ben Azai","Shamai","Rebbe","Rabbi Chananiah ben Antignos","Rabbi Yossi Haglili","Rabbi Yossi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda ben Bathyra","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Nechemia","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Dosa ben Harkinas","Rabbi Chanina Sgan Hacohanim","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel","Aba Shaul"
"Aba Shaul",5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Beit Hillel",80,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,6,1,66,0,0
"Beit Shamai",183,3,6,0,0,0,0,0,3,1,0,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,9,1,0,152,0
"Chachamim",223,5,0,0,3,6,1,2,6,2,3,0,32,4,2,0,18,2,39,9,1,44,2,8,1,11,0,9,0,1,0,0
"Rabbi Akiva",161,23,1,1,0,1,0,4,7,7,9,1,4,9,10,0,4,1,1,4,0,17,0,4,0,0,0,0,35,2,4,0
"Rabbi Chanina Sgan Hacohanim",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rabbi Dosa ben Harkinas",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
"Rabbi Elazar",36,20,0,0,0,0,0,0,0,1,0,0,5,0,0,1,5,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
"Rabbi Elazar ben Azarya",14,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0
"Rabbi Elazar ben Tzadok",10,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
"Rabbi Eliezer",151,34,0,0,1,0,0,0,4,0,1,0,3,37,3,0,4,0,4,7,0,0,1,0,1,0,0,8,38,1,1,0
"Rabbi Eliezer ben Yakov",11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
"Rabbi Gamliel",36,3,7,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,3,0,0,0,0,0,2,14,0,0,0
"Rabbi Meir",225,24,3,0,0,0,0,0,34,0,0,0,48,0,0,2,25,0,0,0,0,2,3,0,0,0,0,1,75,0,1,0
"Rabbi Nechemia",6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Shimon",110,54,1,0,0,2,0,0,10,0,0,0,18,1,0,0,0,0,9,2,0,0,1,0,1,0,0,3,6,0,1,0
"Rabbi Shimon ben Gamliel",21,13,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"Rabbi Tarfon",17,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0
"Rabbi Yehoshua",75,7,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,0,1,9,0,28,0,1,0,0,0,3,17,0,0,0
"Rabbi Yehuda",276,141,3,0,0,0,0,0,25,2,1,0,0,0,0,1,28,1,23,1,2,2,1,3,4,0,0,3,31,1,0,0
"Rabbi Yehuda ben Bathyra",12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0
"Rabbi Yishmael",33,5,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,1,0,2,0,0,0,11,7,0,0,0
"Rabbi Yochanan ben Nuri",17,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Rabbi Yossi",164,97,1,0,0,0,1,2,0,1,1,0,21,1,0,0,9,1,16,0,0,0,1,0,1,0,0,4,4,0,1,0
"Rabbi Yossi Haglili",13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Rabbi Chananiah ben Antignos",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rebbe",14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Shamai",26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,9,0
"Shimon ben Azai",17,4,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0
"Stam",18,4,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0
"Tanna Kama",618,0,0,0,0,2,2,3,82,7,6,0,164,4,2,27,134,6,24,7,12,36,4,7,28,1,2,15,10,4,2,2
