"Name","TotalDisputes","TotalDisputesAmongBig30","Tanna Kama","Stam","Shimon ben Azai","Shamai","Rebbe","Rabbi Chananiah ben Antignos","Rabbi Yossi Haglili","Rabbi Yossi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda ben Bathyra","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Nechemia","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Dosa ben Harkinas","Rabbi Chanina Sgan Hacohanim","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel","Aba Shaul"
"Aba Shaul",4,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beit Hillel",226,225,2,0,0,4,0,0,0,2,1,0,0,1,0,2,1,0,0,0,2,0,2,0,0,0,0,0,9,0,199,0,0
"Beit Shamai",12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Chachamim",481,456,12,1,0,3,13,2,2,8,1,9,3,62,14,7,1,24,2,125,15,3,83,2,6,1,12,1,39,0,3,1,1
"Rabbi Akiva",155,142,5,2,4,0,0,1,10,7,9,19,1,6,8,19,0,6,0,2,3,1,22,0,3,2,0,1,0,6,3,2,0
"Rabbi Chanina Sgan Hacohanim",2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Dosa ben Harkinas",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rabbi Elazar",13,13,7,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rabbi Elazar ben Azarya",10,10,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Rabbi Elazar ben Tzadok",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Eliezer",44,40,9,0,1,1,0,0,0,0,0,0,0,0,16,0,1,0,0,2,1,0,0,0,1,0,0,0,4,4,0,0,0
"Rabbi Eliezer ben Yakov",12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Rabbi Gamliel",34,33,4,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,0,0,0,0,7,1,0,0,1,0,3,2,1,1,0
"Rabbi Meir",49,48,5,0,0,0,0,0,0,7,1,0,0,14,1,0,0,11,0,0,0,0,1,1,0,0,0,0,1,5,0,1,0
"Rabbi Nechemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Shimon",66,66,21,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,15,2,1,1,0,1,0,0,0,3,2,0,0,0
"Rabbi Shimon ben Gamliel",30,28,22,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rabbi Tarfon",16,16,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,5,0,0,0,1
"Rabbi Yehoshua",63,61,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,51,0,1,0,0,0,2,1,0,0,0
"Rabbi Yehuda",155,151,53,3,0,0,0,0,0,7,0,0,0,0,0,0,0,22,0,51,1,1,4,1,0,4,0,0,0,4,0,0,0
"Rabbi Yehuda ben Bathyra",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Yishmael",14,13,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,1,0,0,0
