SeqID,DisputeID,Location,EffectiveRows,tab,tabnum,Seder_Hebrew,Seder_Name,Seder_Number,Seder_Translate,Tractate_Name_Hebrew,Chapter,HebrewChapterLocation,Ith_chapter_in_seder,Disputant_1,Disputant_Hebrew_D1,Disputant_Hebrew_D1b,Disputant_Hebrew_D1c,Disputant_2,Disputant_Hebrew_D2,Disputant_Hebrew_D2b,Disputant_Hebrew_D2c,StrictQuestion,MoneyQuestion,OweQuestion,Winner,Result_1,Score_1,AltOwe_1,AltMoney_1,AltStrict_1,Result_2,Score_2,AltOwe_2,AltMoney_2,AltStrict_2,Owe_Result_Score_1,Money_Result_Score_1,Strict_Result_1,Strict_Result_Score_1,Owe_Result_Score_2,Money_Result_Score_2,Strict_Result_2,Strict_Result_Score_2
   1,   1,1:1, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Chumra 0.5,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.5
   1,   2,1:1, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Rabbi Eliezer,אליעזר,NA,NA,Rabbi Gamliel,גמליאל,NA,NA,1,0,0,Rabbi Eliezer,Chumra 1.0,0,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
   1,   3,1:1, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Chachamim,חכמים,NA,NA,Rabbi Gamliel,גמליאל,NA,NA,1,0,0,Chachamim,Chumra 0.5,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,0.5,NA,NA, 0,0.0
   2,   4,1:2, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Tanna Kama,NA,NA,NA,Rabbi Eliezer,אליעזר,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
   3,   5,1:2, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Rabbi Eliezer,אליעזר,NA,NA,Rabbi Yehoshua,יהושע,יהושוע,NA,1,0,0,Rabbi Yehoshua,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
   4,   6,1:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,0,0,Beit Hillel,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
   5,   7,1:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Rabbi Tarfon,טרפון,NA,NA,Stam,NA,NA,NA,1,0,0,Stam,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
   6,   8,1:5, 2,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 1,, 1,Rabbi Elazar ben Azarya,אלעזר בן עזריה,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Rabbi Elazar ben Azarya,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
   7,   9,2:1, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 2,, 1,Rabbi Meir,מאיר,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Yehuda,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
   8,  10,2:2, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 2,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Yehuda,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
   9,  11,2:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 2,, 1,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  10,  12,2:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 2,, 1,Rabbi Yossi,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Yossi,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  11,  13,2:8, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 2,, 1,Tanna Kama,NA,NA,NA,Rabbi Shimon ben Gamliel,שמעון בן גמליאל,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  12,  14,3:4, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 3,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Yehuda,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  13,  15,3:6, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 3,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Yehuda,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  14,  16,4:1, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Yehuda,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  15,  17,4:1, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Kula 0.0,0,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  16,  18,4:3, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Rabbi Gamliel,גמליאל,NA,NA,Rabbi Yehoshua,יהושע,יהושוע,NA,1,0,0,Rabbi Gamliel,Chumra 1.0,0,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  16,  19,4:3, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Rabbi Gamliel,גמליאל,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Chumra 1.0,0,NA,NA, 1,Chumra 0.5,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.5
  16,  20,4:3, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Rabbi Yehoshua,יהושע,יהושוע,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Kula 0.0,0,NA,NA, 0,Chumra 0.5,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,0.5
  17,  21,4:7, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Rabbi Elazar ben Azarya,אלעזר בן עזריה,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  17,  22,4:7, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Rabbi Elazar ben Azarya,אלעזר בן עזריה,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Rabbi Elazar ben Azarya,Kula 0.0,0,NA,NA, 0,Chumra 0.5,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,0.5
  17,  23,4:7, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 4,, 1,Chachamim,חכמים,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Chachamim,Chumra 1.0,1,NA,NA, 1,Chumra 0.5,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.5
  18,  24,5:2, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 5,, 1,Tanna Kama,NA,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  18,  25,5:2, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 5,, 1,Tanna Kama,NA,NA,NA,Rabbi Eliezer,אליעזר,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  18,  26,5:2, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 5,, 1,Rabbi Akiva,עקיבא,עקיבה,NA,Rabbi Eliezer,אליעזר,NA,NA,0,0,0,Rabbi Akiva,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  19,  27,6:1, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  20,  28,6:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  21,  29,6:4, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Rabbi Yehuda,יהודה,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  22,  30,6:5, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Tanna Kama,NA,NA,NA,Beit Shamai,בית שמאי,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  23,  31,6:8, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Rabbi Gamliel,גמליאל,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  23,  32,6:8, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Rabbi Gamliel,גמליאל,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Gamliel,Chumra 1.0,0,NA,NA, 1,Chumra 1.0,0,NA,NA, 1,NA,NA, 1,1.0,NA,NA, 1,1.0
  23,  33,6:8, 3,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Chachamim,חכמים,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Chachamim,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  24,  34,6:8, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 6,, 1,Tanna Kama,NA,NA,NA,Rabbi Tarfon,טרפון,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  25,  35,7:2, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 7,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  26,  36,7:3, 4,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 7,, 1,Tanna Kama,NA,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  27,  37,7:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 7,, 1,Rabbi Akiva,עקיבא,עקיבה,NA,Rabbi Yishmael,ישמעאל,NA,NA,1,0,0,Rabbi Yishmael,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  28,  38,7:5, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 7,, 1,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,0,0,0,Chachamim,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  29,  39,8:1, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Hillel,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  30,  40,8:2, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Hillel,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  31,  41,8:3, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Shamai,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  32,  42,8:4, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Shamai,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  33,  43,8:5, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Shamai,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  34,  44,8:5, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Hillel,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  35,  45,8:7, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,0,0,Beit Hillel,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  36,  46,8:8, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 8,, 1,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Shamai,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  37,  47,9:2, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 9,, 1,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Rabbi Yehuda,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  38,  48,9:4, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 9,, 1,Tanna Kama,NA,NA,NA,Shimon ben Azai,בן עזאי,NA,NA,1,0,0,Shimon ben Azai,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  39,  49,9:5, 1,ברכות1,1, זרעים,Zeraim,1,Seeds,ברכות, 9,, 1,Tanna Kama,NA,NA,NA,Rabbi Natan,נתן,NA,NA,0,0,0,Tanna Kama,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  41,  51,1:2, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 1,,10,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  42,  52,1:5, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 1,,10,Tanna Kama,NA,NA,NA,Rabbi Meir,מאיר,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  43,  53,1:6, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 1,,10,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Rabbi Yossi,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  44,  54,1:7, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 1,,10,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  45,  55,1:7, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 1,,10,Rabbi Eliezer,אליעזר,NA,NA,Rabbi Yehoshua,יהושע,יהושוע,NA,1,0,0,Rabbi Yehoshua,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  46,  56,2:1, 3,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Chumra 1.0,0,NA,NA, 1,NA,NA, 1,1.0,NA,NA, 1,1.0
  46,  57,2:1, 3,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Elazar,אלעזר,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  46,  58,2:1, 3,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Rabbi Shimon,שמעון,NA,NA,Rabbi Elazar,אלעזר,NA,NA,1,0,0,Rabbi Shimon,Chumra 1.0,0,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  47,  59,2:4-5, 2,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,0,0,Beit Hillel,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  48,  60,2:9, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  49,  61,2:10, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  50,  62,2:11-12, 2,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,1,1,0,Chachamim,BHB 0.0,0,NA, 1, 0,BHB 1.0,1,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
  51,  63,2:13, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,0,0,0,Chachamim,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  52,  64,2:14, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,1,0,Tanna Kama,BHB 0.0,1,NA, 1, 0,BHB 1.0,0,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
  53,  65,2:15, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,1,0,Tanna Kama,BHB 0.0,1,NA, 1, 0,BHB 1.0,0,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
